Bigram,Probability
in the,-3.601
of the,-3.7
<sos> I,-3.772
to be,-3.833
could not,-4.079
had been,-4.115
I am,-4.265
it was,-4.329
have been,-4.353
she had,-4.387
did not,-4.507
would be,-4.568
she was,-4.571
<sos> She,-4.577
such a,-4.583
I have,-4.626
on the,-4.644
it <eos>,-4.653
all the,-4.72
It was,-4.769
of her,-4.779
he had,-4.781
for the,-4.784
must be,-4.829
do not,-4.839
at the,-4.894
<sos> He,-4.899
to the,-4.942
that she,-4.945
<UNK> of,-4.956
that he,-4.959
it is,-5.015
would not,-5.025
<UNK> <eos>,-5.041
<sos> The,-5.042
<UNK> and,-5.046
will be,-5.047
he was,-5.056
Mr Knightley,-5.094
<sos> It,-5.101
by the,-5.11
would have,-5.131
with a,-5.134
in a,-5.148
from the,-5.17
him <eos>,-5.178
Oh <eos>,-5.198
of his,-5.201
was not,-5.239
not be,-5.245
she could,-5.275
Mrs Weston,-5.278
any thing,-5.279
a very,-5.287
with the,-5.288
<sos> But,-5.296
they were,-5.298
and the,-5.326
am sure,-5.335
to her,-5.354
as she,-5.389
as to,-5.409
Captain Wentworth,-5.41
might be,-5.444
me <eos>,-5.446
at all,-5.459
more than,-5.467
She was,-5.468
her own,-5.484
her <eos>,-5.501
the <UNK>,-5.501
for her,-5.505
that I,-5.505
was a,-5.507
is a,-5.513
Mrs Jennings,-5.525
It is,-5.538
them <eos>,-5.553
Mr Elton,-5.557
is not,-5.561
of a,-5.561
could be,-5.566
out of,-5.581
there was,-5.584
I do,-5.586
should be,-5.589
may be,-5.596
with her,-5.631
every thing,-5.637
had not,-5.637
so much,-5.638
but I,-5.65
you <eos>,-5.653
She had,-5.654
Miss Woodhouse,-5.72
in her,-5.721
and I,-5.74
Mr Elliot,-5.765
for a,-5.766
of it,-5.773
my dear,-5.785
<sos> You,-5.794
Lady Russell,-5.808
I was,-5.814
to have,-5.818
a great,-5.825
able to,-5.846
Mr Weston,-5.848
a little,-5.86
him to,-5.865
Frank Churchill,-5.867
He had,-5.884
you know,-5.887
enough to,-5.888
Sir Walter,-5.892
ought to,-5.904
be a,-5.915
all that,-5.922
his own,-5.932
obliged to,-5.953
sort of,-5.955
Mrs Elton,-5.957
as he,-5.968
it would,-5.979
was the,-5.979
one of,-5.98
very much,-5.984
I should,-5.987
that it,-5.997
which she,-6.024
will not,-6.028
He was,-6.034
<sos> And,-6.037
Colonel Brandon,-6.049
seemed to,-6.053
has been,-6.062
I shall,-6.069
and she,-6.088
in his,-6.101
I had,-6.103
does not,-6.109
young man,-6.117
her to,-6.119
he is,-6.128
great deal,-6.13
who had,-6.13
<UNK> to,-6.132
again <eos>,-6.138
soon as,-6.141
said he,-6.142
but she,-6.146
there is,-6.149
you are,-6.156
she would,-6.163
Miss Fairfax,-6.164
every body,-6.167
not to,-6.17
a <UNK>,-6.171
he could,-6.174
think of,-6.177
and <UNK>,-6.183
if you,-6.189
not have,-6.191
as a,-6.192
Jane Fairfax,-6.199
must have,-6.2
on her,-6.202
into the,-6.209
him and,-6.211
Mr Woodhouse,-6.214
said she,-6.229
was to,-6.234
<sos> <UNK>,-6.239
<sos> They,-6.244
to see,-6.251
might have,-6.252
Mrs Dashwood,-6.256
Sir John,-6.257
you will,-6.262
I think,-6.268
by her,-6.272
her and,-6.28
as I,-6.287
should have,-6.296
she is,-6.31
if he,-6.313
should not,-6.313
the same,-6.324
very well,-6.326
at least,-6.355
what I,-6.36
you have,-6.363
Miss Bates,-6.365
I could,-6.368
her sister,-6.373
was very,-6.403
have no,-6.406
do <eos>,-6.407
but it,-6.417
that the,-6.419
I can,-6.421
assure you,-6.424
had no,-6.426
he would,-6.43
from her,-6.435
they are,-6.436
going to,-6.447
it to,-6.468
idea of,-6.473
to say,-6.473
<sos> Mrs,-6.48
it and,-6.48
what she,-6.48
dare say,-6.481
and her,-6.485
too much,-6.485
<sos> Mr,-6.486
herself <eos>,-6.486
when she,-6.486
they had,-6.487
a few,-6.489
could have,-6.49
but the,-6.493
Lady Middleton,-6.494
be the,-6.509
were to,-6.514
if I,-6.522
part of,-6.531
all <eos>,-6.534
that you,-6.54
is the,-6.545
<UNK> <UNK>,-6.55
<UNK> the,-6.55
me to,-6.552
her father,-6.555
of their,-6.561
Harriet s,-6.572
as the,-6.573
when he,-6.58
But I,-6.582
You are,-6.591
I hope,-6.592
so very,-6.594
all her,-6.602
as well,-6.603
say that,-6.603
I know,-6.604
with him,-6.606
again and,-6.608
indeed <eos>,-6.621
had a,-6.622
thing <eos>,-6.63
well as,-6.637
have a,-6.638
not know,-6.638
been a,-6.644
any body,-6.647
such an,-6.651
with all,-6.656
and Mrs,-6.66
to make,-6.669
the world,-6.675
to me,-6.678
and a,-6.679
is very,-6.681
nothing to,-6.682
<sos> Oh,-6.684
to do,-6.687
spite of,-6.689
about it,-6.691
no more,-6.697
was in,-6.7
as much,-6.715
as they,-6.715
as you,-6.715
glad to,-6.721
very good,-6.736
which had,-6.737
as soon,-6.748
each other,-6.748
can be,-6.749
for his,-6.749
<sos> Emma,-6.761
at home,-6.765
and that,-6.771
I must,-6.773
want of,-6.773
<UNK> in,-6.777
She could,-6.777
think it,-6.777
They were,-6.782
a man,-6.783
for it,-6.784
There was,-6.786
do you,-6.789
when I,-6.789
I will,-6.8
to give,-6.803
but he,-6.807
<sos> A,-6.81
be so,-6.821
at her,-6.823
thought of,-6.823
a good,-6.825
deal of,-6.825
Mr <eos>,-6.827
tell you,-6.829
of all,-6.833
if she,-6.835
and he,-6.836
to him,-6.843
them and,-6.848
had the,-6.85
as if,-6.854
father s,-6.856
of <UNK>,-6.856
and as,-6.858
her mother,-6.865
state of,-6.866
<sos> No,-6.869
them to,-6.871
I never,-6.872
<sos> There,-6.878
your sister,-6.883
acquainted with,-6.887
shall be,-6.887
be very,-6.889
herself and,-6.889
as it,-6.891
sister s,-6.891
have not,-6.894
I cannot,-6.902
<sos> Elinor,-6.904
<sos> Her,-6.904
the very,-6.905
be in,-6.906
mother s,-6.909
is so,-6.912
herself to,-6.913
Emma s,-6.916
an hour,-6.916
came to,-6.916
some time,-6.917
had never,-6.922
was so,-6.922
at last,-6.926
the first,-6.927
well <eos>,-6.933
to <UNK>,-6.939
day <eos>,-6.944
he did,-6.947
you must,-6.955
father and,-6.959
You will,-6.96
and in,-6.962
Elton s,-6.964
than she,-6.966
he has,-6.967
used to,-6.968
for him,-6.971
must not,-6.971
made her,-6.973
end of,-6.974
